latitude start,latitude end,longitude start,longitude end,time,source,min,max,hash
5.0625,10.0625,-54.9375,-49.9375,2020-01-12,asc,-8.22,-3.11,e70098e69e493a16e8f7e963b87bc7e6
5.0625,10.0625,-54.9375,-49.9375,2020-02-10,asc,-7.0600000000000005,-1.92,5ca2309914785245ff34be54a7d915bc
5.0625,10.0625,-54.9375,-49.9375,2020-04-08,asc,-8.26,-3.69,08a2ea995c1d3b902bf4daa3792f844d
5.0625,10.0625,-54.9375,-49.9375,2020-05-07,asc,-9.67,-2.09,afece631e90d1823e2d2cebde3a55653
5.0625,10.0625,-54.9375,-49.9375,2020-06-05,asc,-5.15,7.95,84632c7b02359ec2a2871e5f98d011cc
5.0625,10.0625,-54.9375,-49.9375,2020-07-04,asc,-6.13,1.62,9dbdbe716b90718da99c6efc9c797968
5.0625,10.0625,-54.9375,-49.9375,2020-08-02,asc,-8.18,7.01,60afbc299ba7948f5cac8dbd7f6dbaff
5.0625,10.0625,-54.9375,-49.9375,2020-08-31,asc,-1.32,6.09,7bfd59243da55fea5528e547b45a0ef8
5.0625,10.0625,-54.9375,-49.9375,2020-09-29,asc,-4.99,0.3,903fbe42ba56764a76992ecbc396f279
5.0625,10.0625,-54.9375,-49.9375,2020-10-28,asc,-6.6000000000000005,5.66,a9955e033114c720f03c5e874a39887f
5.0625,10.0625,-54.9375,-49.9375,2020-11-26,asc,-5.87,0.23,f745697b954088ee0e48a45745e9a61e
5.0625,10.0625,-54.9375,-49.9375,2020-12-25,asc,-6.0600000000000005,4.59,f2dbfc5ed70fd1e1f69c8e457b438a75
5.0625,10.0625,-49.9375,-44.9375,2020-01-01,asc,-6.99,-2.03,1fccbcdb6ba281cd88d192448b424120
5.0625,10.0625,-49.9375,-44.9375,2020-01-08,asc,-9.34,-3.5,7e46e52b6b7e4f25712b664d17917904
5.0625,10.0625,-49.9375,-44.9375,2020-01-20,asc,-8.370000000000001,-3.09,5d3c4dbd4a73f648af974e8eb482664d
5.0625,10.0625,-49.9375,-44.9375,2020-01-27,asc,-5.94,0.52,b82e5dcac0ed6fff6d29da8c57d086fc
5.0625,10.0625,-49.9375,-44.9375,2020-01-30,asc,-5.43,-0.88,2214f10f0356e34d22f8b818d1d1f98c
5.0625,10.0625,-49.9375,-44.9375,2020-02-06,asc,-7.82,-3.41,88719896146333c4b616a63b438549bc
5.0625,10.0625,-49.9375,-44.9375,2020-02-18,asc,-7.27,-3.98,72bcbac98e87a2434db62664e01bebc2
5.0625,10.0625,-49.9375,-44.9375,2020-02-25,asc,-8.89,-1.35,dbb092d0ffb691618ed8990c2787bb2f
5.0625,10.0625,-49.9375,-44.9375,2020-02-28,asc,-7.82,-3.3000000000000003,864bee144e59a30fc816f8b988f6a174
5.0625,10.0625,-49.9375,-44.9375,2020-03-06,asc,-8.11,-3.09,6edbedb383c24f0a5352838f023acb50
5.0625,10.0625,-49.9375,-44.9375,2020-03-18,asc,-6.73,-1.0,52dac48d5fb7131c5f71344c8df6d03e
5.0625,10.0625,-49.9375,-44.9375,2020-03-25,asc,-8.98,-2.79,5b0bbba052e82d1220abe9927f95893b
5.0625,10.0625,-49.9375,-44.9375,2020-04-16,asc,-9.63,-0.81,8c584d2b179ebca60ba482ed9300b0ca
5.0625,10.0625,-49.9375,-44.9375,2020-04-23,asc,-13.5,-1.52,2f5194f0d910ea3f2856f59782c67ea8
5.0625,10.0625,-49.9375,-44.9375,2020-04-26,asc,-10.26,-0.62,32727d3e9c9703d7c5605380cd6e35c5
5.0625,10.0625,-49.9375,-44.9375,2020-05-15,asc,-7.59,4.67,5442b8b1392db49116602531cad6baf4
5.0625,10.0625,-49.9375,-44.9375,2020-05-22,asc,-6.21,-0.23,51a61de655987055fda8e089140e1ffd
5.0625,10.0625,-49.9375,-44.9375,2020-05-25,asc,-4.8100000000000005,3.71,07425fbbe30145a923d8f2d6063f5727
5.0625,10.0625,-49.9375,-44.9375,2020-06-13,asc,-7.140000000000001,2.98,ff3979377021824e33794c53c361bc62
5.0625,10.0625,-49.9375,-44.9375,2020-06-20,asc,-7.1000000000000005,3.69,fe258209b841d07f9b7412df274998c4
5.0625,10.0625,-49.9375,-44.9375,2020-06-23,asc,-6.59,6.57,7def8b06f697550eb9dfe60475985881
5.0625,10.0625,-49.9375,-44.9375,2020-06-30,asc,-6.2,0.34,79b63dc8456b58ccea6b239fc005dec6
5.0625,10.0625,-49.9375,-44.9375,2020-07-12,asc,-9.11,4.61,e6940925bc1b844b4dda33e6ec8fe400
5.0625,10.0625,-49.9375,-44.9375,2020-07-19,asc,-6.93,4.0600000000000005,6b0d2bc96ae5efd9601f5b06fd85bc6c
5.0625,10.0625,-49.9375,-44.9375,2020-07-22,asc,-8.99,8.38,c7dbafe7a32307bc3cdafe4e218742eb
5.0625,10.0625,-49.9375,-44.9375,2020-07-29,asc,-7.24,11.78,bd7ad1dc42a5d9e39f883f2b09d318dd
5.0625,10.0625,-49.9375,-44.9375,2020-08-10,asc,-1.19,8.790000000000001,0e1475b901a78664edc6869f2e0354b9
5.0625,10.0625,-49.9375,-44.9375,2020-08-12,asc,-6.2700000000000005,7.3,ebd2f4289b72614c832a24827833dadf
5.0625,10.0625,-49.9375,-44.9375,2020-08-17,asc,-5.03,12.02,47f733f1e52f9767fb1da17db1e964da
5.0625,10.0625,-49.9375,-44.9375,2020-08-20,asc,-1.24,9.26,4a8381573ece2184439ccf10bb8e66e6
5.0625,10.0625,-49.9375,-44.9375,2020-08-27,asc,-5.64,5.96,9d9c10c549419c3b432c953e2dcd24ac
5.0625,10.0625,-49.9375,-44.9375,2020-09-08,asc,-0.13,12.8,ee31eea5408754e3d7dd65632f089cf9
5.0625,10.0625,-49.9375,-44.9375,2020-09-10,asc,0.55,8.370000000000001,65c338df182075c64af644587b1118b3
5.0625,10.0625,-49.9375,-44.9375,2020-09-15,asc,-5.7700000000000005,12.34,4f2cc0291b9b4c66c33322c63e849771
5.0625,10.0625,-49.9375,-44.9375,2020-09-18,asc,-1.18,6.17,dd78b944c4571ccbf074168a46f5115d
5.0625,10.0625,-49.9375,-44.9375,2020-09-25,asc,-12.81,5.55,658997734d2a3dec41ad3f648966513a
5.0625,10.0625,-49.9375,-44.9375,2020-10-07,asc,-2.36,5.0,a189112f716faec5d397fe8f6cee2dcf
5.0625,10.0625,-49.9375,-44.9375,2020-10-09,asc,-3.34,4.45,1e1687d80f47a192c732ecf69c0d9db3
5.0625,10.0625,-49.9375,-44.9375,2020-10-14,asc,-4.51,5.61,2da9dca2684db4f755ca851771e2db5e
5.0625,10.0625,-49.9375,-44.9375,2020-10-17,asc,-7.85,4.8500000000000005,64ca7987f8a6fd6a95f40937c4a785f4
5.0625,10.0625,-49.9375,-44.9375,2020-10-24,asc,-12.01,0.24,d80b985c208e0eb2cade01f9d7864413
