latitude start,latitude end,longitude start,longitude end,time,source,min,max,hash
5.0625,10.0625,-54.9375,-49.9375,2020-01-12,des,7.8,11.23,3156ed233255f640447836c1f2176877
5.0625,10.0625,-54.9375,-49.9375,2020-02-10,des,8.35,10.67,b97b5c3c18ab5ca20079f64c7d017833
5.0625,10.0625,-54.9375,-49.9375,2020-04-08,des,7.76,11.03,e395078c00f8a850acfcbe9509aaf8b5
5.0625,10.0625,-54.9375,-49.9375,2020-05-07,des,6.11,11.56,807e66e20666c68f8717d498fdf9d3f6
5.0625,10.0625,-54.9375,-49.9375,2020-06-05,des,4.6000000000000005,12.94,f06c0a325354c2cf2754f92a34d8228b
5.0625,10.0625,-54.9375,-49.9375,2020-07-04,des,2.12,10.540000000000001,372875e3ccc499c25565e1f5ce460160
5.0625,10.0625,-54.9375,-49.9375,2020-08-02,des,1.22,8.370000000000001,1d27cc507229f18ae2dca1e01adb12f6
5.0625,10.0625,-54.9375,-49.9375,2020-08-31,des,3.62,8.42,05276d6c0a082c17f1dd5dc6e32bc99c
5.0625,10.0625,-54.9375,-49.9375,2020-09-29,des,3.29,7.92,b6c46c9dd26a8b556a6230820e39ca84
5.0625,10.0625,-54.9375,-49.9375,2020-10-28,des,3.75,12.36,203742dce14eb434787d29bf3477b6e5
5.0625,10.0625,-54.9375,-49.9375,2020-11-26,des,4.15,9.950000000000001,3d40a242dd441a3efed9c285406fd349
5.0625,10.0625,-54.9375,-49.9375,2020-12-25,des,3.0100000000000002,10.56,348e6f9892c27f9f25f09ef0058cea5c
5.0625,10.0625,-49.9375,-44.9375,2020-01-01,des,7.22,9.52,65cdbf24736296e562e3a1d3e33c554e
5.0625,10.0625,-49.9375,-44.9375,2020-01-08,des,8.45,10.96,4770237f277026a6062f7665bc893642
5.0625,10.0625,-49.9375,-44.9375,2020-01-20,des,8.22,12.030000000000001,bfcf3f27a5ee6cb2de3ec64c4102bb6a
5.0625,10.0625,-49.9375,-44.9375,2020-01-27,des,3.96,8.85,3735e579a5d48afc5ef34b1b514bc06e
5.0625,10.0625,-49.9375,-44.9375,2020-01-30,des,7.34,9.71,856933216c07fbd4d30df4f9d37f4107
5.0625,10.0625,-49.9375,-44.9375,2020-02-06,des,8.77,10.34,7ce85d00ca2f7b05397bd3f3dc08658a
5.0625,10.0625,-49.9375,-44.9375,2020-02-18,des,8.76,11.68,e640a0a2c84ff2a9c394cb632b82daa8
5.0625,10.0625,-49.9375,-44.9375,2020-02-25,des,5.43,11.3,abde740ac6d8e1dfcf93de383cd014d1
5.0625,10.0625,-49.9375,-44.9375,2020-02-28,des,6.12,8.6,fbc639a48170de31ae0f386c819bab00
5.0625,10.0625,-49.9375,-44.9375,2020-03-06,des,6.23,9.42,61c393750ba6651071cf3437cd742756
5.0625,10.0625,-49.9375,-44.9375,2020-03-18,des,5.76,10.5,98249b6d26163f2f8e25813aab6b9d19
5.0625,10.0625,-49.9375,-44.9375,2020-03-25,des,6.65,10.3,abfc6e9034d3ea8e8cf21378736b3a05
5.0625,10.0625,-49.9375,-44.9375,2020-04-16,des,4.0200000000000005,11.870000000000001,25d44986c09416cc4c4a46dc10052599
5.0625,10.0625,-49.9375,-44.9375,2020-04-23,des,6.72,13.58,2429b03484b6297c51ef277daab4b197
5.0625,10.0625,-49.9375,-44.9375,2020-04-26,des,6.37,13.14,f2eecc07cc8018dc264869b979b8400d
5.0625,10.0625,-49.9375,-44.9375,2020-05-15,des,4.79,10.6,9f26768470273b74c2ef0ef88bb44d04
5.0625,10.0625,-49.9375,-44.9375,2020-05-22,des,6.46,10.43,d85d00c51019d41635b96dd484d1e9de
5.0625,10.0625,-49.9375,-44.9375,2020-05-25,des,2.88,9.15,6054c86842f81a8cf3e0eaca9cde659b
5.0625,10.0625,-49.9375,-44.9375,2020-06-13,des,2.11,10.75,39cef8252148977a908de60b79a5fc31
5.0625,10.0625,-49.9375,-44.9375,2020-06-20,des,3.37,8.85,f802986ae8614ec65c997525c05753e5
5.0625,10.0625,-49.9375,-44.9375,2020-06-23,des,1.29,10.41,b47cc659ae41720a7b062a8768fb69b9
5.0625,10.0625,-49.9375,-44.9375,2020-06-30,des,2.44,7.3500000000000005,77b444e18b02b3e3b1de51856d738822
5.0625,10.0625,-49.9375,-44.9375,2020-07-12,des,3.67,9.92,a6202c961cbaea081c63c93c668368c0
5.0625,10.0625,-49.9375,-44.9375,2020-07-19,des,0.6,6.99,65c9ebe495b47db07d7f75eca57192bd
5.0625,10.0625,-49.9375,-44.9375,2020-07-22,des,0.77,9.66,565190d672059798c04395fd60fb02c3
5.0625,10.0625,-49.9375,-44.9375,2020-07-29,des,2.47,12.26,832bd181164082ab19ffb27486a6806d
5.0625,10.0625,-49.9375,-44.9375,2020-08-10,des,0.39,8.88,b0e8334c3e327753f96ed59289ebd056
5.0625,10.0625,-49.9375,-44.9375,2020-08-12,des,0.2,7.94,c433b9ab909d917fdc889d1806bdf2d1
5.0625,10.0625,-49.9375,-44.9375,2020-08-17,des,0.31,12.75,63d8369d0f9b3af0b4f10d04e33d090e
5.0625,10.0625,-49.9375,-44.9375,2020-08-20,des,1.02,10.18,8460b4e5d00a6f28b719ca10a295ff3c
5.0625,10.0625,-49.9375,-44.9375,2020-08-27,des,0.25,7.75,c6d43272fdd485b56f21ca824360aac9
5.0625,10.0625,-49.9375,-44.9375,2020-09-08,des,3.8200000000000003,14.5,a516c48b8d943ec3d30f28f1244fa89f
5.0625,10.0625,-49.9375,-44.9375,2020-09-10,des,2.74,8.52,8a8c491e09fad9c0fa0af46bd498137f
5.0625,10.0625,-49.9375,-44.9375,2020-09-15,des,2.99,12.4,f13fa7bd566baa853f507ccecab5eb6a
5.0625,10.0625,-49.9375,-44.9375,2020-09-18,des,2.49,6.99,4d1b1874e545b41ebbac247d886f2d88
5.0625,10.0625,-49.9375,-44.9375,2020-09-25,des,1.45,13.13,9d51d122de3807eb339deb93d3d65eed
5.0625,10.0625,-49.9375,-44.9375,2020-10-07,des,2.39,6.5,425a179099b96b6aed9a4b860e4fa62a
5.0625,10.0625,-49.9375,-44.9375,2020-10-09,des,3.72,7.54,ea17cc4e73c78badebad68a14566ea47
5.0625,10.0625,-49.9375,-44.9375,2020-10-14,des,0.41000000000000003,8.3,3b1dcd1c0644479a12c9a1824d735460
5.0625,10.0625,-49.9375,-44.9375,2020-10-17,des,1.8900000000000001,8.05,57793edfa8d218d926a0e681d1739aa9
